Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,RSI,Open-Close,High-Low,Volume-Change,Daily-Return,Price-Range,Price-Volatility,Volume-Momentum,Return-Momentum,Return-MA
26-03-2015,416.6010437,420.6377869,408.1808472,410.7564392,390.4022827,9516748,435.0605609,,29.60791184,-1.882141113,12.4569397,1.008910621,-0.018463694,12.4569397,12.24726199,61302332,-0.039928087,-0.003992809
27-03-2015,413.0348511,413.5796814,396.9621887,402.0390625,382.1169128,10765370,434.7490137,,29.11710556,2.278411865,16.61749268,0.131202591,-0.021222739,16.61749268,12.82482867,66097668,-0.045290681,-0.004529068
30-03-2015,404.4660645,405.0108948,394.4856567,401.5685425,381.6697083,7998063,434.5092865,,31.26935265,2.427001953,10.52523804,-0.257056376,-0.001170334,10.52523804,13.00166989,67708578,-0.037050374,-0.003705037
31-03-2015,405.1594849,412.5395508,405.1594849,409.1219482,388.8488159,9338631,434.1303784,,39.39823137,3.590942383,7.380065918,0.167611583,0.018809755,7.380065918,12.25247095,68246370,-0.03575637,-0.003575637
01-04-2015,408.5770874,415.5609131,402.7324829,414.099762,393.5799561,6732605,433.7970386,,40.3276586,-0.54486084,12.82843018,-0.279058676,0.012167066,12.82843018,11.66051418,70700925,-0.037360689,-0.003736069
06-04-2015,414.0749817,415.0655823,406.8435364,408.4532776,388.2132568,5692183,433.2522034,,40.98478013,-0.024780273,8.222045898,-0.154534835,-0.013635565,8.222045898,11.16656127,69962287,-0.036606104,-0.00366061
07-04-2015,409.146698,414.1245117,409.146698,412.5147705,392.0734863,9818618,432.556795,,46.72797959,0.69342041,4.977813721,0.724930137,0.009943592,4.977813721,10.32818894,74978669,-0.024268058,-0.002426806
08-04-2015,412.836731,430.6676941,412.5395508,428.884613,407.6322021,11454982,432.1521313,,52.83432614,0.321960449,18.12814331,0.1666593,0.039683046,18.12814331,10.21722426,80318002,0.029640533,0.002964053
09-04-2015,428.6864929,445.2792053,425.3679504,443.3475037,421.3783875,12588063,432.2645654,,57.46963076,-0.198120117,19.91125488,0.098916,0.033722102,19.91125488,10.97963127,88642531,0.056236315,0.005623632
10-04-2015,443.2732239,450.1331787,440.3756714,447.9290771,425.7329407,11686661,432.4374268,,63.86650459,-0.074279785,9.757507324,-0.071607681,0.010334046,9.757507324,11.89751911,95591924,0.070167274,0.007016727
13-04-2015,449.1425781,458.0332947,445.155365,456.9188538,434.2772217,9311840,432.7687854,,68.00947145,1.213500977,12.87792969,-0.203207828,0.020069643,12.87792969,13.348521,95387016,0.108700611,0.010870061
15-04-2015,456.1759033,465.3885803,449.3406982,457.4884644,434.8186035,10259724,432.9352081,,72.833997,-0.742950439,16.04788208,0.101793416,0.001246634,16.04788208,14.56605664,94881370,0.131169984,0.013116998
16-04-2015,457.9094849,464.5960999,455.1853027,459.8164063,437.0312195,9311821,432.9248071,,72.63514861,0.421020508,9.410797119,-0.092390692,0.005088526,9.410797119,15.82851608,96195128,0.137428844,0.013742884
17-04-2015,463.1349487,467.7165222,456.9683838,459.0734558,436.3250122,11056926,433.039718,,73.27465826,3.31854248,10.74813843,0.18740749,-0.001615755,10.74813843,16.88076832,97913423,0.117003335,0.011700333
20-04-2015,464.2493896,464.3236694,435.1254578,438.6668701,416.929718,17365390,432.817821,,63.97222449,5.175933838,29.19821167,0.57054411,-0.044451679,29.19821167,16.65620937,108546208,0.06038459,0.006038459
21-04-2015,440.895752,443.5456238,432.1288452,434.1100769,412.5986938,8171780,432.212063,,66.75292055,2.228881836,11.41677856,-0.529421453,-0.010387822,11.41677856,16.54730083,111025805,0.063632334,0.006363233
22-04-2015,436.8094788,439.2117004,429.4294434,435.7445679,414.1521912,6812343,431.7261688,,67.63802763,2.699401855,9.78225708,-0.166357513,0.003765153,9.78225708,16.49611345,108019530,0.057453895,0.005745389
23-04-2015,437.7753296,440.5242615,430.4448242,434.4072571,412.8811646,6155401,431.2640491,,63.94427467,2.030761719,10.07943726,-0.096434076,-0.003069025,10.07943726,16.53473169,102719949,0.014701825,0.001470182
24-04-2015,434.3824768,438.0725098,430.2467041,435.3235779,413.7520752,5865595,430.9569604,,62.25336012,-0.024780273,7.825805664,-0.047081579,0.002109359,7.825805664,16.58931581,95997481,-0.016910918,-0.001691092
27-04-2015,435.893158,439.5831909,431.6335449,433.5404663,412.0573425,5096308,430.7449701,,65.16012742,0.569580078,7.949645996,-0.131152424,-0.00409606,7.949645996,16.60272178,89407128,-0.031341025,-0.003134102
28-04-2015,433.2432861,436.8590088,425.2441101,428.5379028,407.3025818,6778219,430.578548,,59.57384967,-0.297180176,11.61489868,0.330025383,-0.011538862,11.61489868,16.60264213,86873507,-0.062949529,-0.006294953
29-04-2015,426.9529114,431.1877747,419.7214661,421.0092468,400.1470032,7563040,430.0763086,,44.7385719,-1.584991455,11.46630859,0.115785725,-0.017568238,11.46630859,16.60338517,84176823,-0.081764402,-0.00817644
30-04-2015,421.0092468,428.884613,419.993866,427.1262817,405.960968,16061186,429.6127032,,37.80262417,0,8.89074707,1.123641552,0.014529455,8.89074707,16.47137195,90926188,-0.072323472,-0.007232347
04-05-2015,429.0332031,442.7531433,426.2099609,441.2919922,419.4247131,6958726,429.349696,,45.63802271,1.906921387,16.54318237,-0.566736479,0.033165158,16.54318237,16.61132292,86827988,-0.03754256,-0.003754256
05-05-2015,442.6540833,446.6660461,438.3944702,441.8863525,419.989624,8236274,429.2441962,,38.8949934,1.362091064,8.271575928,0.183589352,0.001346864,8.271575928,16.77287906,77698872,0.008255982,0.000825598
06-05-2015,440.8214417,444.1647644,431.9059753,435.992218,414.3875427,10355229,429.0322052,,35.27814992,-1.064910889,12.25878906,0.257271067,-0.013338576,12.25878906,16.77982622,79882321,0.005305228,0.000530523
07-05-2015,433.3918762,435.1006775,425.9623108,431.2868347,409.9153442,7723447,428.7221442,,31.07752358,-2.600341797,9.138366699,-0.254150053,-0.010792356,9.138366699,16.73037513,80793425,-0.009252281,-0.000925228
08-05-2015,431.4106445,442.678833,426.5071411,440.6728516,423.7022095,7893697,428.8865851,,39.05097069,0.123809814,16.17169189,0.022043266,0.021762818,16.17169189,16.64429987,82531721,0.015579562,0.001557956
11-05-2015,442.2330627,445.5020752,437.5524292,443.7685242,426.6786499,6559762,429.3274066,,53.82332183,1.560211182,7.949645996,-0.168987358,0.007024877,7.949645996,16.66802849,83225888,0.02049508,0.002049508
12-05-2015,443.2484436,443.2484436,428.5131226,430.2714539,413.7013855,7684065,429.597348,,47.46316892,-0.520080566,14.73532104,0.171393871,-0.030414663,14.73532104,16.48128357,85813645,-0.005823524,-0.000582352
13-05-2015,432.5746155,440.1528015,424.5754395,438.3944702,421.5115662,7707709,430.0129089,,51.61291521,2.303161621,15.57736206,0.003077017,0.018878818,15.57736206,16.00762646,86743135,0.024594156,0.002459416
14-05-2015,438.8402405,438.9393005,431.0639343,434.9768677,418.2255859,5690160,430.37151,,50.33814153,0.445770264,7.875366211,-0.261757287,-0.007795725,7.875366211,14.89390876,84870255,0.03436667,0.003436667
15-05-2015,436.8094788,439.3107605,430.9648743,432.8717957,416.2015991,3845085,430.5537817,,48.56478921,1.832611084,8.34588623,-0.324257139,-0.004839503,8.34588623,13.56573718,72654154,0.014997711,0.001499771
18-05-2015,433.3423462,442.8026733,432.0050354,441.5891724,424.5831909,4544638,430.8242181,,54.35773404,0.470550537,10.79763794,0.18193434,0.020138472,10.79763794,12.67519999,70240066,0.001971026,0.000197103
19-05-2015,441.4405823,448.1271973,439.1374207,443.5704041,426.4881592,6697763,430.7722113,,58.41418381,-0.148590088,8.989776611,0.473772609,0.004486595,8.989776611,12.01760622,68701555,0.005110757,0.000511076
20-05-2015,445.9726257,451.2228699,444.6353149,450.157959,432.8220215,4019151,430.9802393,,66.48920872,2.40222168,6.587554932,-0.399926363,0.014851205,6.587554932,10.92637758,62365477,0.033300537,0.003330054
21-05-2015,451.3466797,453.4021912,442.8522034,444.1647644,427.0596619,4965518,431.0971313,,59.65206598,1.188720703,10.54998779,0.235464405,-0.013313537,10.54998779,9.777936894,59607548,0.030779357,0.003077936
22-05-2015,444.2885742,448.5482178,444.2885742,447.681427,430.4408569,3853084,431.4359198,,54.11614274,0.123809814,4.259643555,-0.224031813,0.007917473,4.259643555,9.658488593,55566935,0.016934012,0.001693401
25-05-2015,445.7745056,449.7369385,441.9854126,443.0503235,425.9881287,3053900,431.7861005,,50.7127712,-1.906921387,7.751525879,-0.207414113,-0.010344641,7.751525879,9.655499705,52061073,-0.000435506,-4.36E-05
26-05-2015,443.2979736,443.7932739,437.205719,438.1468201,421.2734375,4388978,432.0699103,,51.33559988,0.247650146,6.587554932,0.437171486,-0.011067599,6.587554932,9.556344904,48765986,0.018911558,0.001891156
27-05-2015,438.8402405,441.2672119,435.9674683,438.4935303,421.6068115,3728104,432.2828918,,54.72249453,0.69342041,5.299743652,-0.150575829,0.000791311,5.299743652,9.011453097,44786381,0.000824051,8.24E-05
28-05-2015,438.7659302,442.9265137,431.9059753,433.7881165,417.0825806,12247683,432.5374786,,45.19364621,0.272399902,11.02053833,2.285231045,-0.010730863,11.02053833,8.391943963,51343904,-0.002111087,-0.000211109
29-05-2015,435.8188782,439.0631104,432.4508057,434.3824768,417.6540527,13511569,432.8832013,,43.21031206,2.030761719,6.612304688,0.103193886,0.001370163,6.612304688,7.406427595,61010388,0.004098579,0.000409858
